league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
L1 Mo Alie-Cox Cup Memorial League,1,1,200,11,161.08,W,38.91999999999999,186,361.08000000000004,229,Geriatric All Stars,jbieligk,danvers,danvers
L1 Mo Alie-Cox Cup Memorial League,1,2,137.12,10,178.02,L,40.900000000000006,174,315.14,380,Dairy Free Smoothies,Weagle85,C.D. Odor Eaters,skiballs68
L1 Mo Alie-Cox Cup Memorial League,1,3,153.18,4,158.68,L,5.5,450,311.86,397,Illegitimate Time Zone,NotInMyLeagues,Big  Mad 😡 ,ecsirkin
L1 Mo Alie-Cox Cup Memorial League,1,4,158.68,3,153.18,W,5.5,450,311.86,397,Big  Mad 😡 ,ecsirkin,Illegitimate Time Zone,NotInMyLeagues
L1 Mo Alie-Cox Cup Memorial League,1,5,218.14,6,108.3,W,109.83999999999999,3,326.44,339,Oatmeal Boy,stephensear,"Steevy Teevy Tavi, Bitch!",slg070
L1 Mo Alie-Cox Cup Memorial League,1,6,108.3,5,218.14,L,109.83999999999999,3,326.44,339,"Steevy Teevy Tavi, Bitch!",slg070,Oatmeal Boy,stephensear
L1 Mo Alie-Cox Cup Memorial League,1,7,173.97,8,157.93,W,16.039999999999992,348,331.9,320,East Coast Brads™️,banditfootball,ctjoumas,ctjoumas
L1 Mo Alie-Cox Cup Memorial League,1,8,157.93,7,173.97,L,16.039999999999992,348,331.9,320,ctjoumas,ctjoumas,East Coast Brads™️,banditfootball
L1 Mo Alie-Cox Cup Memorial League,1,9,164.93,12,189.8,L,24.870000000000005,280,354.73,253,Digestible Seeds,wilkel39,DavisDayCare,DavisDayCare
L1 Mo Alie-Cox Cup Memorial League,1,10,178.02,2,137.12,W,40.900000000000006,174,315.14,380,C.D. Odor Eaters,skiballs68,Dairy Free Smoothies,Weagle85
L1 Mo Alie-Cox Cup Memorial League,1,11,161.08,1,200,L,38.91999999999999,186,361.08000000000004,229,danvers,danvers,Geriatric All Stars,jbieligk
L1 Mo Alie-Cox Cup Memorial League,1,12,189.8,9,164.93,W,24.870000000000005,280,354.73,253,DavisDayCare,DavisDayCare,Digestible Seeds,wilkel39
L1 Mo Alie-Cox Cup Memorial League,2,1,148.85,2,123.05,W,25.799999999999997,271,271.9,470,Geriatric All Stars,jbieligk,Dairy Free Smoothies,Weagle85
L1 Mo Alie-Cox Cup Memorial League,2,2,123.05,1,148.85,L,25.799999999999997,271,271.9,470,Dairy Free Smoothies,Weagle85,Geriatric All Stars,jbieligk
