Team,Total Points For,Total Points Against,League
Admiral Snackbar,1928.95,1746.47,L3 The Only Legitimate LTS Bowl League
Bad Faith,1921.92,1705.6200000000001,L5 2024 TES Memorial Bidet Bowel
Hero Arby’s ,1845.57,1561.83,L2 The Neverending Tilt Montage
Horsey Sauce,1813.29,1613.3,L2 The Neverending Tilt Montage
C.D. Odor Eaters,1812.1200000000001,1555.8899999999999,L1 Mo Alie-Cox Cup Memorial League
jonsey456,1785.18,1601.07,L4 Sack Based 4
ctjoumas,1769.65,1527.45,L1 Mo Alie-Cox Cup Memorial League
Poop on the Cob,1753.79,1549.6299999999999,L4 Sack Based 4
TurdFergusonFF,1733.38,1421.6100000000001,L3 The Only Legitimate LTS Bowl League
Taysom’s Sobbing Tailor,1730.86,1524.8,L5 2024 TES Memorial Bidet Bowel
sugarfreemocha,1728.62,1500.67,L2 The Neverending Tilt Montage
Big  Mad 😡 ,1722.22,1560.37,L1 Mo Alie-Cox Cup Memorial League
2.5 Seltzers,1721.68,1561.1399999999999,L4 Sack Based 4
Corny Team Name,1719.8899999999999,1541.03,L5 2024 TES Memorial Bidet Bowel
The Woke FAAB,1710.77,1504.87,L3 The Only Legitimate LTS Bowl League
Weinerlicious,1709.41,1474.81,L5 2024 TES Memorial Bidet Bowel
Digestible Seeds,1705.3,1640.67,L1 Mo Alie-Cox Cup Memorial League
The Poop Monsters [K.C.],1704.91,1705.72,L4 Sack Based 4
DavisDayCare,1696.03,1649.37,L1 Mo Alie-Cox Cup Memorial League
Illegal Formation,1693.18,1616.54,L3 The Only Legitimate LTS Bowl League
Geriatric All Stars,1659.03,1653.25,L1 Mo Alie-Cox Cup Memorial League
East Coast Brads™️,1655.53,1769.23,L1 Mo Alie-Cox Cup Memorial League
danvers,1652.83,1750.49,L1 Mo Alie-Cox Cup Memorial League
Closet Poopers,1632.5,1552.69,L4 Sack Based 4
kfisch55,1632.33,1663.56,L3 The Only Legitimate LTS Bowl League
The Huge Mistaeks,1631.91,1674.19,L2 The Neverending Tilt Montage
The Lib Owners,1630.4,1571.83,L4 Sack Based 4
outshine13,1629.35,1645.88,L4 Sack Based 4
Perpetual Tilt Montage,1614.56,1749.83,L5 2024 TES Memorial Bidet Bowel
Oatmeal Boy,1578.65,1528.8700000000001,L1 Mo Alie-Cox Cup Memorial League
WilhelmTilt,1573.08,1769.6,L3 The Only Legitimate LTS Bowl League
Natanab,1572.32,1717.07,L2 The Neverending Tilt Montage
jetsgnome22,1555.36,1714.1599999999999,L2 The Neverending Tilt Montage
I Lick Gibbons,1550.36,1578.81,L5 2024 TES Memorial Bidet Bowel
fantasyscott,1548.83,1613.93,L3 The Only Legitimate LTS Bowl League
On Stroud 9,1547.52,1578.4,L4 Sack Based 4
The Enemy Speaks Kindly,1544.33,1703.6100000000001,L3 The Only Legitimate LTS Bowl League
Foxy stoats,1539.51,1485.41,L4 Sack Based 4
Meat Mountain,1534.51,1421.02,L2 The Neverending Tilt Montage
39ers,1533.73,1548.82,L3 The Only Legitimate LTS Bowl League
Denny Farter,1530.55,1627.81,L2 The Neverending Tilt Montage
Gluten Soy Dairy Free,1528.6,1654.99,L2 The Neverending Tilt Montage
Sorry to the Kids,1523.29,1623.1299999999999,L5 2024 TES Memorial Bidet Bowel
SycamoreFlynns,1523.23,1599.07,L3 The Only Legitimate LTS Bowl League
Hock Tua 🐬,1511.52,1575.68,L5 2024 TES Memorial Bidet Bowel
O'Shaughnessy's Pub,1511.27,1602.31,L4 Sack Based 4
TheDude,1507.68,1643.73,L5 2024 TES Memorial Bidet Bowel
Sexy Skeletons,1500.87,1688.19,L2 The Neverending Tilt Montage
The Penultimate Warrior,1498.82,1535.81,L2 The Neverending Tilt Montage
My mom's basement ,1498.57,1551.8799999999999,L5 2024 TES Memorial Bidet Bowel
KnutPower,1489.98,1580.63,L5 2024 TES Memorial Bidet Bowel
Not Great Bob,1486.96,1585.54,L3 The Only Legitimate LTS Bowl League
Lot 48 Task Force,1474.76,1506.1399999999999,L2 The Neverending Tilt Montage
Illegitimate Time Zone,1468.09,1646.76,L1 Mo Alie-Cox Cup Memorial League
Dairy Free Smoothies,1459.08,1457.72,L1 Mo Alie-Cox Cup Memorial League
The Glorious Process,1451,1679.0900000000001,L5 2024 TES Memorial Bidet Bowel
johnnysmomskid,1421.62,1556.77,L3 The Only Legitimate LTS Bowl League
DiegoFLopez,1406.31,1720.08,L4 Sack Based 4
Deep Dish Keenan [Matt W],1335.44,1623.7,L4 Sack Based 4
"Steevy Teevy Tavi, Bitch!",1212.73,1651.19,L1 Mo Alie-Cox Cup Memorial League
