Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
3,Highest Score,League 1,Geriatric All Stars,C.D. Odor Eaters,0,0,0
3,Highest Score,League 1,Dairy Free Smoothies,danvers,0,0,0
3,Highest Score,League 1,Illegitimate Time Zone,Digestible Seeds,0,0,0
3,Highest Score,League 1,Big  Mad 😡 ,DavisDayCare,0,0,0
3,Highest Score,League 1,Oatmeal Boy,ctjoumas,0,0,0
3,Highest Score,League 1,"Steevy Teevy Tavi, Bitch!",East Coast Brads™️,0,0,0
3,Highest Score,League 1,East Coast Brads™️,"Steevy Teevy Tavi, Bitch!",0,0,0
3,Highest Score,League 1,ctjoumas,Oatmeal Boy,0,0,0
3,Highest Score,League 1,Digestible Seeds,Illegitimate Time Zone,0,0,0
3,Highest Score,League 1,C.D. Odor Eaters,Geriatric All Stars,0,0,0
3,Highest Score,League 1,danvers,Dairy Free Smoothies,0,0,0
3,Highest Score,League 1,DavisDayCare,Big  Mad 😡 ,0,0,0
3,Highest Score,League 2,Sexy Skeletons,Denny Farter,0,0,0
3,Highest Score,League 2,The Huge Mistaeks,Horsey Sauce,0,0,0
3,Highest Score,League 2,jetsgnome22,Meat Mountain,0,0,0
3,Highest Score,League 2,Denny Farter,Sexy Skeletons,0,0,0
3,Highest Score,League 2,sugarfreemocha,Natanab,0,0,0
3,Highest Score,League 2,Lot 48 Task Force,The Penultimate Warrior,0,0,0
3,Highest Score,League 2,Natanab,sugarfreemocha,0,0,0
3,Highest Score,League 2,Gluten Soy Dairy Free,Hero Arby’s ,0,0,0
3,Highest Score,League 2,Horsey Sauce,The Huge Mistaeks,0,0,0
3,Highest Score,League 2,The Penultimate Warrior,Lot 48 Task Force,0,0,0
3,Highest Score,League 2,Meat Mountain,jetsgnome22,0,0,0
3,Highest Score,League 2,Hero Arby’s ,Gluten Soy Dairy Free,0,0,0
3,Highest Score,League 3,39ers,The Enemy Speaks Kindly,0,0,0
3,Highest Score,League 3,The Enemy Speaks Kindly,39ers,0,0,0
3,Highest Score,League 3,TurdFergusonFF,fantasyscott,0,0,0
3,Highest Score,League 3,The Woke FAAB,kfisch55,0,0,0
3,Highest Score,League 3,SycamoreFlynns,WilhelmTilt,0,0,0
3,Highest Score,League 3,Illegal Formation,johnnysmomskid,0,0,0
3,Highest Score,League 3,fantasyscott,TurdFergusonFF,0,0,0
3,Highest Score,League 3,johnnysmomskid,Illegal Formation,0,0,0
3,Highest Score,League 3,kfisch55,The Woke FAAB,0,0,0
3,Highest Score,League 3,Not Great Bob,Admiral Snackbar,0,0,0
3,Highest Score,League 3,Admiral Snackbar,Not Great Bob,0,0,0
3,Highest Score,League 3,WilhelmTilt,SycamoreFlynns,0,0,0
3,Highest Score,League 4,On Stroud 9,O'Shaughnessy's Pub,0,0,0
3,Highest Score,League 4,Deep Dish Keenan [Matt W],The Poop Monsters [K.C.],0,0,0
3,Highest Score,League 4,The Lib Owners,Poop on the Cob,0,0,0
3,Highest Score,League 4,Poop on the Cob,The Lib Owners,0,0,0
3,Highest Score,League 4,Closet Poopers,DiegoFLopez,0,0,0
3,Highest Score,League 4,Foxy stoats,2.5 Seltzers,0,0,0
3,Highest Score,League 4,outshine13,jonsey456,0,0,0
3,Highest Score,League 4,2.5 Seltzers,Foxy stoats,0,0,0
3,Highest Score,League 4,O'Shaughnessy's Pub,On Stroud 9,0,0,0
3,Highest Score,League 4,jonsey456,outshine13,0,0,0
